scale,selectivity,complexity,query,method,latency_ms,rows,safe_by_rule,error
0.06,0.025,2,q2_revenue_by_product,no_policy,3.6184,16,0,
0.06,0.025,2,q2_revenue_by_product,post_join_filter,0.2249,0,1,
0.06,0.025,2,q2_revenue_by_product,view_barrier,0.0263,0,1,
0.06,0.025,2,q2_revenue_by_product,oblivious_forced,0.2748,0,1,
0.06,0.025,2,q2_revenue_by_product,predicate_injection,0.0244,0,1,
0.06,0.025,2,q2_revenue_by_product,pcqv_no_stats,0.017,0,1,
0.06,0.025,2,q2_revenue_by_product,pcqv_forced,0.0261,0,1,
0.06,0.025,2,q2_revenue_by_product,pcqv,0.0192,0,1,
0.06,0.025,2,q2_revenue_by_product,oracle_order,0.0225,0,1,
0.06,0.025,2,q3_support_tickets,no_policy,1.7871,250,0,
0.06,0.025,2,q3_support_tickets,post_join_filter,0.0674,0,1,
0.06,0.025,2,q3_support_tickets,view_barrier,0.0287,0,1,
0.06,0.025,2,q3_support_tickets,oblivious_forced,0.1355,0,1,
0.06,0.025,2,q3_support_tickets,predicate_injection,0.0258,0,1,
0.06,0.025,2,q3_support_tickets,pcqv_no_stats,0.0824,0,1,
0.06,0.025,2,q3_support_tickets,pcqv_forced,0.023,0,1,
0.06,0.025,2,q3_support_tickets,pcqv,0.0147,0,1,
0.06,0.025,2,q3_support_tickets,oracle_order,0.0137,0,1,
0.06,0.025,2,q4_revenue_by_region,no_policy,14.7477,8,0,
0.06,0.025,2,q4_revenue_by_region,post_join_filter,0.1603,0,1,
0.06,0.025,2,q4_revenue_by_region,view_barrier,0.02,0,1,
0.06,0.025,2,q4_revenue_by_region,oblivious_forced,0.1805,0,1,
0.06,0.025,2,q4_revenue_by_region,predicate_injection,0.0181,0,1,
0.06,0.025,2,q4_revenue_by_region,pcqv_no_stats,0.0157,0,1,
0.06,0.025,2,q4_revenue_by_region,pcqv_forced,0.044,0,1,
0.06,0.025,2,q4_revenue_by_region,pcqv,0.0439,0,1,
0.06,0.025,2,q4_revenue_by_region,oracle_order,0.1491,0,1,
0.06,0.025,2,q5_high_value_segments,no_policy,4.295,5,0,
0.06,0.025,2,q5_high_value_segments,post_join_filter,1.6455,0,1,
0.06,0.025,2,q5_high_value_segments,view_barrier,0.0624,0,1,
0.06,0.025,2,q5_high_value_segments,oblivious_forced,1.3671,0,1,
0.06,0.025,2,q5_high_value_segments,predicate_injection,0.0239,0,1,
0.06,0.025,2,q5_high_value_segments,pcqv_no_stats,0.0309,0,1,
0.06,0.025,2,q5_high_value_segments,pcqv_forced,0.0171,0,1,
0.06,0.025,2,q5_high_value_segments,pcqv,0.016,0,1,
0.06,0.025,2,q5_high_value_segments,oracle_order,0.0116,0,1,
0.06,0.025,2,q6_lineitem_product_count,no_policy,11.1898,8,0,
0.06,0.025,2,q6_lineitem_product_count,post_join_filter,0.3045,0,1,
0.06,0.025,2,q6_lineitem_product_count,view_barrier,0.0164,0,1,
0.06,0.025,2,q6_lineitem_product_count,oblivious_forced,0.2792,0,1,
0.06,0.025,2,q6_lineitem_product_count,predicate_injection,0.0174,0,1,
0.06,0.025,2,q6_lineitem_product_count,pcqv_no_stats,0.0513,0,1,
0.06,0.025,2,q6_lineitem_product_count,pcqv_forced,0.013,0,1,
0.06,0.025,2,q6_lineitem_product_count,pcqv,0.036,0,1,
0.06,0.025,2,q6_lineitem_product_count,oracle_order,0.032,0,1,
0.06,0.025,2,q7_customer_summary,no_policy,1.2797,198,0,
0.06,0.025,2,q7_customer_summary,post_join_filter,0.1395,0,1,
0.06,0.025,2,q7_customer_summary,view_barrier,0.0383,0,1,
0.06,0.025,2,q7_customer_summary,oblivious_forced,0.124,0,1,
0.06,0.025,2,q7_customer_summary,predicate_injection,0.021,0,1,
0.06,0.025,2,q7_customer_summary,pcqv_no_stats,0.1506,0,1,
0.06,0.025,2,q7_customer_summary,pcqv_forced,0.0181,0,1,
0.06,0.025,2,q7_customer_summary,pcqv,0.0228,0,1,
0.06,0.025,2,q7_customer_summary,oracle_order,0.0191,0,1,
0.06,0.025,2,q8_sensitive_product_scan,no_policy,1.4644,43,0,
0.06,0.025,2,q8_sensitive_product_scan,post_join_filter,0.4517,6,1,
0.06,0.025,2,q8_sensitive_product_scan,view_barrier,0.4803,6,1,
0.06,0.025,2,q8_sensitive_product_scan,oblivious_forced,0.6947,6,1,
0.06,0.025,2,q8_sensitive_product_scan,predicate_injection,0.1687,6,1,
0.06,0.025,2,q8_sensitive_product_scan,pcqv_no_stats,0.1636,6,1,
0.06,0.025,2,q8_sensitive_product_scan,pcqv_forced,0.1828,6,1,
0.06,0.025,2,q8_sensitive_product_scan,pcqv,0.4874,6,1,
0.06,0.025,2,q8_sensitive_product_scan,oracle_order,0.1863,6,1,
0.06,0.025,2,q9_ticket_topic_segments,no_policy,4.0331,25,0,
0.06,0.025,2,q9_ticket_topic_segments,post_join_filter,0.0757,0,1,
0.06,0.025,2,q9_ticket_topic_segments,view_barrier,0.0159,0,1,
0.06,0.025,2,q9_ticket_topic_segments,oblivious_forced,0.0721,0,1,
0.06,0.025,2,q9_ticket_topic_segments,predicate_injection,0.012,0,1,
0.06,0.025,2,q9_ticket_topic_segments,pcqv_no_stats,0.0117,0,1,
0.06,0.025,2,q9_ticket_topic_segments,pcqv_forced,0.0408,0,1,
0.06,0.025,2,q9_ticket_topic_segments,pcqv,0.0118,0,1,
0.06,0.025,2,q9_ticket_topic_segments,oracle_order,0.0153,0,1,
0.06,0.025,2,q10_acl_customer_rows,no_policy,0.4177,300,0,
0.06,0.025,2,q10_acl_customer_rows,post_join_filter,0.0156,0,1,
0.06,0.025,2,q10_acl_customer_rows,view_barrier,0.0301,0,1,
0.06,0.025,2,q10_acl_customer_rows,oblivious_forced,0.0144,0,1,
0.06,0.025,2,q10_acl_customer_rows,predicate_injection,0.0132,0,1,
0.06,0.025,2,q10_acl_customer_rows,pcqv_no_stats,0.0137,0,1,
0.06,0.025,2,q10_acl_customer_rows,pcqv_forced,0.1349,0,1,
0.06,0.025,2,q10_acl_customer_rows,pcqv,0.0164,0,1,
0.06,0.025,2,q10_acl_customer_rows,oracle_order,0.0292,0,1,
0.06,0.025,2,q11_order_ticket_bridge,no_policy,9.2277,40,0,
0.06,0.025,2,q11_order_ticket_bridge,post_join_filter,0.0927,0,1,
0.06,0.025,2,q11_order_ticket_bridge,view_barrier,0.0194,0,1,
0.06,0.025,2,q11_order_ticket_bridge,oblivious_forced,0.1764,0,1,
0.06,0.025,2,q11_order_ticket_bridge,predicate_injection,0.0185,0,1,
0.06,0.025,2,q11_order_ticket_bridge,pcqv_no_stats,0.0164,0,1,
0.06,0.025,2,q11_order_ticket_bridge,pcqv_forced,0.0207,0,1,
0.06,0.025,2,q11_order_ticket_bridge,pcqv,0.0187,0,1,
0.06,0.025,2,q11_order_ticket_bridge,oracle_order,0.0167,0,1,
0.06,0.025,2,q12_product_segment_revenue,no_policy,21.5691,27,0,
0.06,0.025,2,q12_product_segment_revenue,post_join_filter,0.1152,0,1,
0.06,0.025,2,q12_product_segment_revenue,view_barrier,0.0161,0,1,
0.06,0.025,2,q12_product_segment_revenue,oblivious_forced,0.1183,0,1,
0.06,0.025,2,q12_product_segment_revenue,predicate_injection,0.038,0,1,
0.06,0.025,2,q12_product_segment_revenue,pcqv_no_stats,0.0176,0,1,
0.06,0.025,2,q12_product_segment_revenue,pcqv_forced,0.0129,0,1,
0.06,0.025,2,q12_product_segment_revenue,pcqv,0.0122,0,1,
0.06,0.025,2,q12_product_segment_revenue,oracle_order,0.2519,0,1,
0.06,0.025,2,q13_order_lineitem_rows,no_policy,0.7942,300,0,
0.06,0.025,2,q13_order_lineitem_rows,post_join_filter,0.3991,145,1,
