case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
16,fz016,rows,lineitem,0.25,3,mut_drop_acl,0,1,0,0,
16,fz016,rows,lineitem,0.25,3,mut_no_group_guard,0,1,0,0,
17,fz017,rows,customers,0.025,3,post_join_filter,1,1,0,0,
17,fz017,rows,customers,0.025,3,view_barrier,1,1,0,0,
17,fz017,rows,customers,0.025,3,predicate_injection,1,1,0,0,
17,fz017,rows,customers,0.025,3,pcqv_forced,1,1,0,0,
17,fz017,rows,customers,0.025,3,pcqv,1,1,0,0,
17,fz017,rows,customers,0.025,3,oracle_order,1,1,0,0,
17,fz017,rows,customers,0.025,3,unsafe_late_aggregate,0,1,0,0,
17,fz017,rows,customers,0.025,3,mut_no_mask,0,1,0,0,
17,fz017,rows,customers,0.025,3,mut_drop_tenant,0,0,139,139,
17,fz017,rows,customers,0.025,3,mut_drop_purpose,0,1,0,0,
17,fz017,rows,customers,0.025,3,mut_drop_clearance,0,1,0,0,
17,fz017,rows,customers,0.025,3,mut_drop_region,0,0,29,29,
17,fz017,rows,customers,0.025,3,mut_drop_cross_guard,0,1,0,0,
17,fz017,rows,customers,0.025,3,mut_drop_acl,0,1,0,0,
17,fz017,rows,customers,0.025,3,mut_no_group_guard,0,1,0,0,
18,fz018,rows,customers+orders,0.1,5,post_join_filter,1,1,0,0,
18,fz018,rows,customers+orders,0.1,5,view_barrier,1,1,0,0,
18,fz018,rows,customers+orders,0.1,5,predicate_injection,1,1,0,0,
18,fz018,rows,customers+orders,0.1,5,pcqv_forced,1,1,0,0,
18,fz018,rows,customers+orders,0.1,5,pcqv,1,1,0,0,
18,fz018,rows,customers+orders,0.1,5,oracle_order,1,1,0,0,
18,fz018,rows,customers+orders,0.1,5,unsafe_late_aggregate,0,1,0,0,
18,fz018,rows,customers+orders,0.1,5,mut_no_mask,0,0,52,26,
18,fz018,rows,customers+orders,0.1,5,mut_drop_tenant,0,0,212,193,
18,fz018,rows,customers+orders,0.1,5,mut_drop_purpose,0,0,70,70,
18,fz018,rows,customers+orders,0.1,5,mut_drop_clearance,0,0,2,2,
18,fz018,rows,customers+orders,0.1,5,mut_drop_region,0,1,0,0,
18,fz018,rows,customers+orders,0.1,5,mut_drop_cross_guard,0,0,6,6,
18,fz018,rows,customers+orders,0.1,5,mut_drop_acl,0,1,0,0,
18,fz018,rows,customers+orders,0.1,5,mut_no_group_guard,0,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,post_join_filter,1,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,view_barrier,1,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,predicate_injection,1,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,pcqv_forced,1,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,pcqv,1,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,oracle_order,1,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,unsafe_late_aggregate,0,0,50,40,
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_no_mask,0,1,0,0,
