selectivity,complexity,query,alias,table,estimated_policy_cardinality,actual_policy_cardinality,policy_q_error,estimated_without_policy,actual_without_policy,plain_q_error
0.25,5,q11_order_ticket_bridge,t,tickets,222.0,219,1.0137,1500.0,1468,1.0218
0.25,5,q12_product_segment_revenue,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,5,q12_product_segment_revenue,c,customers,67.32,101,1.5003,720.0,729,1.0125
0.25,5,q12_product_segment_revenue,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,5,q12_product_segment_revenue,p,products,31.74,54,1.7013,276.0,281,1.0181
0.25,5,q13_order_lineitem_rows,o,orders,83.16,93,1.1183,2800.0,2781,1.0068
0.25,5,q13_order_lineitem_rows,l,lineitem,1874.4,2198,1.1726,8520.0,9745,1.1438
0.25,5,q14_support_owner_rows,t,tickets,296.0,327,1.1047,2000.0,1993,1.0035
0.25,5,q14_support_owner_rows,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,5,q15_clearance_product_rows,p,products,11.73,17,1.4493,102.0,102,1.0
0.25,5,q15_clearance_product_rows,l,lineitem,2112.0,2181,1.0327,9600.0,9562,1.004
0.25,5,q16_region_product_mix,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,5,q16_region_product_mix,o,orders,111.375,115,1.0325,3750.0,3824,1.0197
0.25,5,q16_region_product_mix,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,5,q16_region_product_mix,p,products,28.98,54,1.8634,252.0,289,1.1468
0.25,6,q1_customer_orders,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,6,q1_customer_orders,o,orders,34.155,63,1.8445,1150.0,1809,1.573
0.25,6,q1_customer_orders,c,customers,44.88,71,1.582,480.0,504,1.05
0.25,6,q2_revenue_by_product,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,6,q2_revenue_by_product,p,products,10.35,20,1.9324,90.0,97,1.0778
0.25,6,q2_revenue_by_product,o,orders,98.01,93,1.0539,3300.0,3322,1.0067
0.25,6,q3_support_tickets,t,tickets,118.4,136,1.1486,800.0,787,1.0165
0.25,6,q3_support_tickets,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,6,q4_revenue_by_region,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,6,q4_revenue_by_region,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,6,q4_revenue_by_region,c,customers,112.2,159,1.4171,1200.0,1200,1.0
