selectivity,complexity,query,alias,table,estimated_policy_cardinality,actual_policy_cardinality,policy_q_error,estimated_without_policy,actual_without_policy,plain_q_error
0.025,1,q1_customer_orders,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q1_customer_orders,o,orders,28.75,49,1.7043,1150.0,1809,1.573
0.025,1,q1_customer_orders,c,customers,12.0,18,1.5,480.0,504,1.05
0.025,1,q2_revenue_by_product,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q2_revenue_by_product,p,products,2.25,2,1.125,90.0,97,1.0778
0.025,1,q2_revenue_by_product,o,orders,82.5,76,1.0855,3300.0,3322,1.0067
0.025,1,q3_support_tickets,t,tickets,20.0,16,1.25,800.0,787,1.0165
0.025,1,q3_support_tickets,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q4_revenue_by_region,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q4_revenue_by_region,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q4_revenue_by_region,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q5_high_value_segments,o,orders,87.5,78,1.1218,3500.0,3498,1.0006
0.025,1,q5_high_value_segments,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q6_lineitem_product_count,l,lineitem,240.0,236,1.0169,9600.0,9586,1.0015
0.025,1,q6_lineitem_product_count,p,products,6.675,9,1.3483,267.0,267,1.0
0.025,1,q6_lineitem_product_count,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q6_lineitem_product_count,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q7_customer_summary,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q7_customer_summary,c,customers,4.8,6,1.25,192.0,207,1.0781
0.025,1,q8_sensitive_product_scan,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q8_sensitive_product_scan,p,products,6.15,11,1.7886,246.0,283,1.1504
0.025,1,q9_ticket_topic_segments,t,tickets,56.875,51,1.1152,2275.0,2288,1.0057
0.025,1,q9_ticket_topic_segments,c,customers,25.8,38,1.4729,1032.0,1168,1.1318
0.025,1,q10_acl_customer_rows,c,customers,22.2,16,1.3875,888.0,548,1.6204
0.025,1,q11_order_ticket_bridge,o,orders,38.75,64,1.6516,1550.0,2515,1.6226
0.025,1,q11_order_ticket_bridge,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q11_order_ticket_bridge,t,tickets,37.5,30,1.25,1500.0,1468,1.0218
0.025,1,q12_product_segment_revenue,o,orders,125.0,117,1.0684,5000.0,5000,1.0
0.025,1,q12_product_segment_revenue,c,customers,18.0,25,1.3889,720.0,729,1.0125
0.025,1,q12_product_segment_revenue,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q12_product_segment_revenue,p,products,6.9,9,1.3043,276.0,281,1.0181
0.025,1,q13_order_lineitem_rows,o,orders,70.0,66,1.0606,2800.0,2781,1.0068
0.025,1,q13_order_lineitem_rows,l,lineitem,213.0,236,1.108,8520.0,9745,1.1438
0.025,1,q14_support_owner_rows,t,tickets,50.0,46,1.087,2000.0,1993,1.0035
0.025,1,q14_support_owner_rows,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q15_clearance_product_rows,p,products,2.55,4,1.5686,102.0,102,1.0
0.025,1,q15_clearance_product_rows,l,lineitem,240.0,224,1.0714,9600.0,9562,1.004
0.025,1,q16_region_product_mix,c,customers,30.0,40,1.3333,1200.0,1200,1.0
0.025,1,q16_region_product_mix,o,orders,93.75,92,1.019,3750.0,3824,1.0197
0.025,1,q16_region_product_mix,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,1,q16_region_product_mix,p,products,6.3,11,1.746,252.0,289,1.1468
0.025,2,q1_customer_orders,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,2,q1_customer_orders,o,orders,25.3,45,1.7787,1150.0,1809,1.573
0.025,2,q1_customer_orders,c,customers,1.02,0,1.02,480.0,504,1.05
0.025,2,q2_revenue_by_product,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,2,q2_revenue_by_product,p,products,2.07,0,2.07,90.0,97,1.0778
0.025,2,q2_revenue_by_product,o,orders,72.6,68,1.0676,3300.0,3322,1.0067
0.025,2,q3_support_tickets,t,tickets,16.0,13,1.2308,800.0,787,1.0165
0.025,2,q3_support_tickets,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,2,q4_revenue_by_region,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,2,q4_revenue_by_region,o,orders,110.0,106,1.0377,5000.0,5000,1.0
0.025,2,q4_revenue_by_region,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,2,q5_high_value_segments,o,orders,77.0,74,1.0405,3500.0,3498,1.0006
0.025,2,q5_high_value_segments,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,2,q6_lineitem_product_count,l,lineitem,240.0,236,1.0169,9600.0,9586,1.0015
0.025,2,q6_lineitem_product_count,p,products,6.141,7,1.1399,267.0,267,1.0
0.025,2,q6_lineitem_product_count,o,orders,110.0,106,1.0377,5000.0,5000,1.0
0.025,2,q6_lineitem_product_count,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,2,q7_customer_summary,o,orders,110.0,106,1.0377,5000.0,5000,1.0
0.025,2,q7_customer_summary,c,customers,1.0,0,1.0,192.0,207,1.0781
0.025,2,q8_sensitive_product_scan,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,2,q8_sensitive_product_scan,p,products,5.658,9,1.5907,246.0,283,1.1504
0.025,2,q9_ticket_topic_segments,t,tickets,45.5,40,1.1375,2275.0,2288,1.0057
0.025,2,q9_ticket_topic_segments,c,customers,2.193,0,2.193,1032.0,1168,1.1318
0.025,2,q10_acl_customer_rows,c,customers,1.887,0,1.887,888.0,548,1.6204
0.025,2,q11_order_ticket_bridge,o,orders,34.1,60,1.7595,1550.0,2515,1.6226
0.025,2,q11_order_ticket_bridge,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,2,q11_order_ticket_bridge,t,tickets,30.0,18,1.6667,1500.0,1468,1.0218
0.025,2,q12_product_segment_revenue,o,orders,110.0,106,1.0377,5000.0,5000,1.0
0.025,2,q12_product_segment_revenue,c,customers,1.53,0,1.53,720.0,729,1.0125
0.025,2,q12_product_segment_revenue,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,2,q12_product_segment_revenue,p,products,6.348,9,1.4178,276.0,281,1.0181
0.025,2,q13_order_lineitem_rows,o,orders,61.6,66,1.0714,2800.0,2781,1.0068
0.025,2,q13_order_lineitem_rows,l,lineitem,213.0,236,1.108,8520.0,9745,1.1438
0.025,2,q14_support_owner_rows,t,tickets,40.0,35,1.1429,2000.0,1993,1.0035
0.025,2,q14_support_owner_rows,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,2,q15_clearance_product_rows,p,products,2.346,4,1.705,102.0,102,1.0
0.025,2,q15_clearance_product_rows,l,lineitem,240.0,224,1.0714,9600.0,9562,1.004
0.025,2,q16_region_product_mix,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,2,q16_region_product_mix,o,orders,82.5,82,1.0061,3750.0,3824,1.0197
0.025,2,q16_region_product_mix,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,2,q16_region_product_mix,p,products,5.796,9,1.5528,252.0,289,1.1468
0.025,3,q1_customer_orders,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,3,q1_customer_orders,o,orders,6.831,8,1.1711,1150.0,1809,1.573
0.025,3,q1_customer_orders,c,customers,1.02,0,1.02,480.0,504,1.05
0.025,3,q2_revenue_by_product,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,3,q2_revenue_by_product,p,products,1.0,0,1.0,90.0,97,1.0778
0.025,3,q2_revenue_by_product,o,orders,19.602,14,1.4001,3300.0,3322,1.0067
0.025,3,q3_support_tickets,t,tickets,11.84,9,1.3156,800.0,787,1.0165
0.025,3,q3_support_tickets,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,3,q4_revenue_by_region,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,3,q4_revenue_by_region,o,orders,29.7,21,1.4143,5000.0,5000,1.0
0.025,3,q4_revenue_by_region,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,3,q5_high_value_segments,o,orders,20.79,17,1.2229,3500.0,3498,1.0006
0.025,3,q5_high_value_segments,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,3,q6_lineitem_product_count,l,lineitem,240.0,236,1.0169,9600.0,9586,1.0015
0.025,3,q6_lineitem_product_count,p,products,2.047,1,2.047,267.0,267,1.0
0.025,3,q6_lineitem_product_count,o,orders,29.7,21,1.4143,5000.0,5000,1.0
0.025,3,q6_lineitem_product_count,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,3,q7_customer_summary,o,orders,29.7,21,1.4143,5000.0,5000,1.0
0.025,3,q7_customer_summary,c,customers,1.0,0,1.0,192.0,207,1.0781
0.025,3,q8_sensitive_product_scan,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,3,q8_sensitive_product_scan,p,products,1.886,1,1.886,246.0,283,1.1504
0.025,3,q9_ticket_topic_segments,t,tickets,33.67,31,1.0861,2275.0,2288,1.0057
0.025,3,q9_ticket_topic_segments,c,customers,2.193,0,2.193,1032.0,1168,1.1318
0.025,3,q10_acl_customer_rows,c,customers,1.887,0,1.887,888.0,548,1.6204
0.025,3,q11_order_ticket_bridge,o,orders,9.207,16,1.7378,1550.0,2515,1.6226
0.025,3,q11_order_ticket_bridge,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,3,q11_order_ticket_bridge,t,tickets,22.2,15,1.48,1500.0,1468,1.0218
0.025,3,q12_product_segment_revenue,o,orders,29.7,21,1.4143,5000.0,5000,1.0
0.025,3,q12_product_segment_revenue,c,customers,1.53,0,1.53,720.0,729,1.0125
0.025,3,q12_product_segment_revenue,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,3,q12_product_segment_revenue,p,products,2.116,1,2.116,276.0,281,1.0181
0.025,3,q13_order_lineitem_rows,o,orders,16.632,10,1.6632,2800.0,2781,1.0068
0.025,3,q13_order_lineitem_rows,l,lineitem,213.0,236,1.108,8520.0,9745,1.1438
0.025,3,q14_support_owner_rows,t,tickets,29.6,27,1.0963,2000.0,1993,1.0035
0.025,3,q14_support_owner_rows,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,3,q15_clearance_product_rows,p,products,1.0,1,1.0,102.0,102,1.0
0.025,3,q15_clearance_product_rows,l,lineitem,240.0,224,1.0714,9600.0,9562,1.004
0.025,3,q16_region_product_mix,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,3,q16_region_product_mix,o,orders,22.275,14,1.5911,3750.0,3824,1.0197
0.025,3,q16_region_product_mix,l,lineitem,300.0,297,1.0101,12000.0,12000,1.0
0.025,3,q16_region_product_mix,p,products,1.932,1,1.932,252.0,289,1.1468
0.025,4,q1_customer_orders,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,4,q1_customer_orders,o,orders,1.15,0,1.15,1150.0,1809,1.573
0.025,4,q1_customer_orders,c,customers,1.02,0,1.02,480.0,504,1.05
0.025,4,q2_revenue_by_product,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,4,q2_revenue_by_product,p,products,1.0,0,1.0,90.0,97,1.0778
0.025,4,q2_revenue_by_product,o,orders,3.3,0,3.3,3300.0,3322,1.0067
0.025,4,q3_support_tickets,t,tickets,11.84,9,1.3156,800.0,787,1.0165
0.025,4,q3_support_tickets,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,4,q4_revenue_by_region,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,4,q4_revenue_by_region,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,4,q4_revenue_by_region,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,4,q5_high_value_segments,o,orders,3.5,0,3.5,3500.0,3498,1.0006
0.025,4,q5_high_value_segments,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,4,q6_lineitem_product_count,l,lineitem,211.2,209,1.0105,9600.0,9586,1.0015
0.025,4,q6_lineitem_product_count,p,products,2.047,1,2.047,267.0,267,1.0
0.025,4,q6_lineitem_product_count,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,4,q6_lineitem_product_count,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,4,q7_customer_summary,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,4,q7_customer_summary,c,customers,1.0,0,1.0,192.0,207,1.0781
0.025,4,q8_sensitive_product_scan,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,4,q8_sensitive_product_scan,p,products,1.886,1,1.886,246.0,283,1.1504
0.025,4,q9_ticket_topic_segments,t,tickets,33.67,31,1.0861,2275.0,2288,1.0057
0.025,4,q9_ticket_topic_segments,c,customers,2.193,0,2.193,1032.0,1168,1.1318
0.025,4,q10_acl_customer_rows,c,customers,1.887,0,1.887,888.0,548,1.6204
0.025,4,q11_order_ticket_bridge,o,orders,1.55,0,1.55,1550.0,2515,1.6226
0.025,4,q11_order_ticket_bridge,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,4,q11_order_ticket_bridge,t,tickets,22.2,15,1.48,1500.0,1468,1.0218
0.025,4,q12_product_segment_revenue,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,4,q12_product_segment_revenue,c,customers,1.53,0,1.53,720.0,729,1.0125
0.025,4,q12_product_segment_revenue,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,4,q12_product_segment_revenue,p,products,2.116,1,2.116,276.0,281,1.0181
0.025,4,q13_order_lineitem_rows,o,orders,2.8,0,2.8,2800.0,2781,1.0068
0.025,4,q13_order_lineitem_rows,l,lineitem,187.44,208,1.1097,8520.0,9745,1.1438
0.025,4,q14_support_owner_rows,t,tickets,29.6,27,1.0963,2000.0,1993,1.0035
0.025,4,q14_support_owner_rows,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,4,q15_clearance_product_rows,p,products,1.0,1,1.0,102.0,102,1.0
0.025,4,q15_clearance_product_rows,l,lineitem,211.2,201,1.0507,9600.0,9562,1.004
0.025,4,q16_region_product_mix,c,customers,2.55,0,2.55,1200.0,1200,1.0
0.025,4,q16_region_product_mix,o,orders,3.75,0,3.75,3750.0,3824,1.0197
0.025,4,q16_region_product_mix,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,4,q16_region_product_mix,p,products,1.932,1,1.932,252.0,289,1.1468
0.025,5,q1_customer_orders,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,5,q1_customer_orders,o,orders,1.15,0,1.15,1150.0,1809,1.573
0.025,5,q1_customer_orders,c,customers,1.428,0,1.428,480.0,504,1.05
0.025,5,q2_revenue_by_product,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,5,q2_revenue_by_product,p,products,1.0,0,1.0,90.0,97,1.0778
0.025,5,q2_revenue_by_product,o,orders,3.3,0,3.3,3300.0,3322,1.0067
0.025,5,q3_support_tickets,t,tickets,11.84,9,1.3156,800.0,787,1.0165
0.025,5,q3_support_tickets,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,5,q4_revenue_by_region,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,5,q4_revenue_by_region,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,5,q4_revenue_by_region,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,5,q5_high_value_segments,o,orders,3.5,0,3.5,3500.0,3498,1.0006
0.025,5,q5_high_value_segments,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,5,q6_lineitem_product_count,l,lineitem,211.2,209,1.0105,9600.0,9586,1.0015
0.025,5,q6_lineitem_product_count,p,products,2.047,1,2.047,267.0,267,1.0
0.025,5,q6_lineitem_product_count,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,5,q6_lineitem_product_count,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,5,q7_customer_summary,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,5,q7_customer_summary,c,customers,1.0,0,1.0,192.0,207,1.0781
0.025,5,q8_sensitive_product_scan,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,5,q8_sensitive_product_scan,p,products,1.886,1,1.886,246.0,283,1.1504
0.025,5,q9_ticket_topic_segments,t,tickets,33.67,31,1.0861,2275.0,2288,1.0057
0.025,5,q9_ticket_topic_segments,c,customers,3.0702,0,3.0702,1032.0,1168,1.1318
0.025,5,q10_acl_customer_rows,c,customers,2.6418,0,2.6418,888.0,548,1.6204
0.025,5,q11_order_ticket_bridge,o,orders,1.55,0,1.55,1550.0,2515,1.6226
0.025,5,q11_order_ticket_bridge,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,5,q11_order_ticket_bridge,t,tickets,22.2,15,1.48,1500.0,1468,1.0218
0.025,5,q12_product_segment_revenue,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,5,q12_product_segment_revenue,c,customers,2.142,0,2.142,720.0,729,1.0125
0.025,5,q12_product_segment_revenue,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,5,q12_product_segment_revenue,p,products,2.116,1,2.116,276.0,281,1.0181
0.025,5,q13_order_lineitem_rows,o,orders,2.8,0,2.8,2800.0,2781,1.0068
0.025,5,q13_order_lineitem_rows,l,lineitem,187.44,208,1.1097,8520.0,9745,1.1438
0.025,5,q14_support_owner_rows,t,tickets,29.6,27,1.0963,2000.0,1993,1.0035
0.025,5,q14_support_owner_rows,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,5,q15_clearance_product_rows,p,products,1.0,1,1.0,102.0,102,1.0
0.025,5,q15_clearance_product_rows,l,lineitem,211.2,201,1.0507,9600.0,9562,1.004
0.025,5,q16_region_product_mix,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,5,q16_region_product_mix,o,orders,3.75,0,3.75,3750.0,3824,1.0197
0.025,5,q16_region_product_mix,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,5,q16_region_product_mix,p,products,1.932,1,1.932,252.0,289,1.1468
0.025,6,q1_customer_orders,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,6,q1_customer_orders,o,orders,1.15,0,1.15,1150.0,1809,1.573
0.025,6,q1_customer_orders,c,customers,1.428,0,1.428,480.0,504,1.05
0.025,6,q2_revenue_by_product,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,6,q2_revenue_by_product,p,products,1.0,0,1.0,90.0,97,1.0778
0.025,6,q2_revenue_by_product,o,orders,3.3,0,3.3,3300.0,3322,1.0067
0.025,6,q3_support_tickets,t,tickets,11.84,9,1.3156,800.0,787,1.0165
0.025,6,q3_support_tickets,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,6,q4_revenue_by_region,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,6,q4_revenue_by_region,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,6,q4_revenue_by_region,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,6,q5_high_value_segments,o,orders,3.5,0,3.5,3500.0,3498,1.0006
0.025,6,q5_high_value_segments,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,6,q6_lineitem_product_count,l,lineitem,211.2,209,1.0105,9600.0,9586,1.0015
0.025,6,q6_lineitem_product_count,p,products,2.047,1,2.047,267.0,267,1.0
0.025,6,q6_lineitem_product_count,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,6,q6_lineitem_product_count,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,6,q7_customer_summary,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,6,q7_customer_summary,c,customers,1.0,0,1.0,192.0,207,1.0781
0.025,6,q8_sensitive_product_scan,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,6,q8_sensitive_product_scan,p,products,1.886,1,1.886,246.0,283,1.1504
0.025,6,q9_ticket_topic_segments,t,tickets,33.67,31,1.0861,2275.0,2288,1.0057
0.025,6,q9_ticket_topic_segments,c,customers,3.0702,0,3.0702,1032.0,1168,1.1318
0.025,6,q10_acl_customer_rows,c,customers,2.6418,0,2.6418,888.0,548,1.6204
0.025,6,q11_order_ticket_bridge,o,orders,1.55,0,1.55,1550.0,2515,1.6226
0.025,6,q11_order_ticket_bridge,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,6,q11_order_ticket_bridge,t,tickets,22.2,15,1.48,1500.0,1468,1.0218
0.025,6,q12_product_segment_revenue,o,orders,5.0,0,5.0,5000.0,5000,1.0
0.025,6,q12_product_segment_revenue,c,customers,2.142,0,2.142,720.0,729,1.0125
0.025,6,q12_product_segment_revenue,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,6,q12_product_segment_revenue,p,products,2.116,1,2.116,276.0,281,1.0181
0.025,6,q13_order_lineitem_rows,o,orders,2.8,0,2.8,2800.0,2781,1.0068
0.025,6,q13_order_lineitem_rows,l,lineitem,187.44,208,1.1097,8520.0,9745,1.1438
0.025,6,q14_support_owner_rows,t,tickets,29.6,27,1.0963,2000.0,1993,1.0035
0.025,6,q14_support_owner_rows,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,6,q15_clearance_product_rows,p,products,1.0,1,1.0,102.0,102,1.0
0.025,6,q15_clearance_product_rows,l,lineitem,211.2,201,1.0507,9600.0,9562,1.004
0.025,6,q16_region_product_mix,c,customers,3.57,0,3.57,1200.0,1200,1.0
0.025,6,q16_region_product_mix,o,orders,3.75,0,3.75,3750.0,3824,1.0197
0.025,6,q16_region_product_mix,l,lineitem,264.0,263,1.0038,12000.0,12000,1.0
0.025,6,q16_region_product_mix,p,products,1.932,1,1.932,252.0,289,1.1468
0.05,1,q1_customer_orders,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,1,q1_customer_orders,o,orders,57.5,100,1.7391,1150.0,1809,1.573
0.05,1,q1_customer_orders,c,customers,24.0,28,1.1667,480.0,504,1.05
0.05,1,q2_revenue_by_product,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,1,q2_revenue_by_product,p,products,4.5,5,1.1111,90.0,97,1.0778
0.05,1,q2_revenue_by_product,o,orders,165.0,164,1.0061,3300.0,3322,1.0067
0.05,1,q3_support_tickets,t,tickets,40.0,38,1.0526,800.0,787,1.0165
0.05,1,q3_support_tickets,c,customers,60.0,72,1.2,1200.0,1200,1.0
0.05,1,q4_revenue_by_region,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,1,q4_revenue_by_region,o,orders,250.0,243,1.0288,5000.0,5000,1.0
0.05,1,q4_revenue_by_region,c,customers,60.0,72,1.2,1200.0,1200,1.0
0.05,1,q5_high_value_segments,o,orders,175.0,171,1.0234,3500.0,3498,1.0006
0.05,1,q5_high_value_segments,c,customers,60.0,72,1.2,1200.0,1200,1.0
0.05,1,q6_lineitem_product_count,l,lineitem,480.0,459,1.0458,9600.0,9586,1.0015
0.05,1,q6_lineitem_product_count,p,products,13.35,22,1.6479,267.0,267,1.0
0.05,1,q6_lineitem_product_count,o,orders,250.0,243,1.0288,5000.0,5000,1.0
0.05,1,q6_lineitem_product_count,c,customers,60.0,72,1.2,1200.0,1200,1.0
0.05,1,q7_customer_summary,o,orders,250.0,243,1.0288,5000.0,5000,1.0
0.05,1,q7_customer_summary,c,customers,9.6,10,1.0417,192.0,207,1.0781
0.05,1,q8_sensitive_product_scan,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,1,q8_sensitive_product_scan,p,products,12.3,24,1.9512,246.0,283,1.1504
0.05,1,q9_ticket_topic_segments,t,tickets,113.75,100,1.1375,2275.0,2288,1.0057
0.05,1,q9_ticket_topic_segments,c,customers,51.6,70,1.3566,1032.0,1168,1.1318
0.05,1,q10_acl_customer_rows,c,customers,44.4,29,1.531,888.0,548,1.6204
0.05,1,q11_order_ticket_bridge,o,orders,77.5,132,1.7032,1550.0,2515,1.6226
0.05,1,q11_order_ticket_bridge,c,customers,60.0,72,1.2,1200.0,1200,1.0
0.05,1,q11_order_ticket_bridge,t,tickets,75.0,69,1.087,1500.0,1468,1.0218
0.05,1,q12_product_segment_revenue,o,orders,250.0,243,1.0288,5000.0,5000,1.0
0.05,1,q12_product_segment_revenue,c,customers,36.0,39,1.0833,720.0,729,1.0125
0.05,1,q12_product_segment_revenue,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,1,q12_product_segment_revenue,p,products,13.8,22,1.5942,276.0,281,1.0181
0.05,1,q13_order_lineitem_rows,o,orders,140.0,140,1.0,2800.0,2781,1.0068
0.05,1,q13_order_lineitem_rows,l,lineitem,426.0,449,1.054,8520.0,9745,1.1438
0.05,1,q14_support_owner_rows,t,tickets,100.0,85,1.1765,2000.0,1993,1.0035
0.05,1,q14_support_owner_rows,c,customers,60.0,72,1.2,1200.0,1200,1.0
0.05,1,q15_clearance_product_rows,p,products,5.1,6,1.1765,102.0,102,1.0
0.05,1,q15_clearance_product_rows,l,lineitem,480.0,428,1.1215,9600.0,9562,1.004
0.05,1,q16_region_product_mix,c,customers,60.0,72,1.2,1200.0,1200,1.0
0.05,1,q16_region_product_mix,o,orders,187.5,189,1.008,3750.0,3824,1.0197
0.05,1,q16_region_product_mix,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,1,q16_region_product_mix,p,products,12.6,24,1.9048,252.0,289,1.1468
0.05,2,q1_customer_orders,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,2,q1_customer_orders,o,orders,50.6,92,1.8182,1150.0,1809,1.573
0.05,2,q1_customer_orders,c,customers,4.08,4,1.02,480.0,504,1.05
0.05,2,q2_revenue_by_product,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,2,q2_revenue_by_product,p,products,4.14,3,1.38,90.0,97,1.0778
0.05,2,q2_revenue_by_product,o,orders,145.2,146,1.0055,3300.0,3322,1.0067
0.05,2,q3_support_tickets,t,tickets,32.0,28,1.1429,800.0,787,1.0165
0.05,2,q3_support_tickets,c,customers,10.2,6,1.7,1200.0,1200,1.0
0.05,2,q4_revenue_by_region,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,2,q4_revenue_by_region,o,orders,220.0,220,1.0,5000.0,5000,1.0
0.05,2,q4_revenue_by_region,c,customers,10.2,6,1.7,1200.0,1200,1.0
0.05,2,q5_high_value_segments,o,orders,154.0,158,1.026,3500.0,3498,1.0006
0.05,2,q5_high_value_segments,c,customers,10.2,6,1.7,1200.0,1200,1.0
0.05,2,q6_lineitem_product_count,l,lineitem,480.0,459,1.0458,9600.0,9586,1.0015
0.05,2,q6_lineitem_product_count,p,products,12.282,20,1.6284,267.0,267,1.0
0.05,2,q6_lineitem_product_count,o,orders,220.0,220,1.0,5000.0,5000,1.0
0.05,2,q6_lineitem_product_count,c,customers,10.2,6,1.7,1200.0,1200,1.0
0.05,2,q7_customer_summary,o,orders,220.0,220,1.0,5000.0,5000,1.0
0.05,2,q7_customer_summary,c,customers,1.632,1,1.632,192.0,207,1.0781
0.05,2,q8_sensitive_product_scan,l,lineitem,600.0,566,1.0601,12000.0,12000,1.0
0.05,2,q8_sensitive_product_scan,p,products,11.316,22,1.9441,246.0,283,1.1504
0.05,2,q9_ticket_topic_segments,t,tickets,91.0,77,1.1818,2275.0,2288,1.0057
