selectivity,complexity,query,method,compile_ms,sql_chars,iterations
0.025,3,q2_revenue_by_product,predicate_injection,0.012594,460,4
0.025,3,q2_revenue_by_product,pcqv_no_stats,0.049775,472,4
0.025,3,q2_revenue_by_product,pcqv_forced,0.10007,472,4
0.025,3,q2_revenue_by_product,pcqv,0.291582,472,4
0.025,3,q2_revenue_by_product,oracle_order,0.795649,472,1
0.025,3,q3_support_tickets,post_join_filter,0.037114,746,4
0.025,3,q3_support_tickets,view_barrier,0.013398,441,4
0.025,3,q3_support_tickets,oblivious_forced,0.012122,357,4
0.025,3,q3_support_tickets,predicate_injection,0.010896,351,4
0.025,3,q3_support_tickets,pcqv_no_stats,0.023236,357,4
0.025,3,q3_support_tickets,pcqv_forced,0.037429,357,4
0.025,3,q3_support_tickets,pcqv,0.095988,351,4
0.025,3,q3_support_tickets,oracle_order,0.285702,357,1
0.025,3,q4_revenue_by_region,post_join_filter,0.042319,882,4
0.025,3,q4_revenue_by_region,view_barrier,0.015241,522,4
0.025,3,q4_revenue_by_region,oblivious_forced,0.013567,401,4
0.025,3,q4_revenue_by_region,predicate_injection,0.012308,389,4
0.025,3,q4_revenue_by_region,pcqv_no_stats,0.049879,401,4
0.025,3,q4_revenue_by_region,pcqv_forced,0.102825,401,4
0.025,3,q4_revenue_by_region,pcqv,0.297553,401,4
0.025,3,q4_revenue_by_region,oracle_order,0.669807,401,1
0.025,3,q5_high_value_segments,post_join_filter,0.033203,701,4
0.025,3,q5_high_value_segments,view_barrier,0.012211,404,4
0.025,3,q5_high_value_segments,oblivious_forced,0.011662,320,4
0.025,3,q5_high_value_segments,predicate_injection,0.010185,314,4
0.025,3,q5_high_value_segments,pcqv_no_stats,0.02278,320,4
0.025,3,q5_high_value_segments,pcqv_forced,0.036262,320,4
0.025,3,q5_high_value_segments,pcqv,0.118596,320,4
0.025,3,q5_high_value_segments,oracle_order,2.582679,320,1
0.025,3,q6_lineitem_product_count,post_join_filter,0.05045,1087,4
0.025,3,q6_lineitem_product_count,view_barrier,0.019396,648,4
0.025,3,q6_lineitem_product_count,oblivious_forced,0.017542,490,4
0.025,3,q6_lineitem_product_count,predicate_injection,0.016099,472,4
