benchmark,scale,context,query,method,latency_ms,rows,error
tpch_ssb_like,0.5,broad,ssb_supplier_nation,pcqv,2.717894,16,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,predicate_injection,2.519271,16,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,view_barrier,11.497562,16,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,raw_post_filter_control,7.496286,16,
tpch_ssb_like,0.5,broad,ssb_supplier_nation,unsafe_late_aggregate,7.525425,16,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,pcqv,0.987988,2,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,predicate_injection,2.9386,2,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,view_barrier,21.387707,2,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,raw_post_filter_control,7.101159,2,
tpch_ssb_like,1.0,tight,tpch_q3_revenue,unsafe_late_aggregate,5.730871,2,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,pcqv,2.239036,4,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,predicate_injection,0.812229,4,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,view_barrier,28.170933,4,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,raw_post_filter_control,14.16593,5,
tpch_ssb_like,1.0,tight,tpch_q5_region_supplier,unsafe_late_aggregate,12.8053,5,
tpch_ssb_like,1.0,tight,tpch_q6_discount,pcqv,1.410918,1,
tpch_ssb_like,1.0,tight,tpch_q6_discount,predicate_injection,0.577131,1,
tpch_ssb_like,1.0,tight,tpch_q6_discount,view_barrier,18.121028,1,
tpch_ssb_like,1.0,tight,tpch_q6_discount,raw_post_filter_control,9.937856,1,
tpch_ssb_like,1.0,tight,tpch_q6_discount,unsafe_late_aggregate,8.978601,1,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,pcqv,1.86016,5,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,predicate_injection,0.816555,5,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,view_barrier,228.485485,5,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,raw_post_filter_control,34.678856,5,
tpch_ssb_like,1.0,tight,tpch_q10_customer_loss,unsafe_late_aggregate,35.209263,5,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,pcqv,8.142573,3,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,predicate_injection,1.61613,3,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,view_barrier,27.971052,3,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,raw_post_filter_control,14.966504,3,
tpch_ssb_like,1.0,tight,ssb_brand_revenue,unsafe_late_aggregate,15.803499,3,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,pcqv,1.368098,1,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,predicate_injection,0.803516,1,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,view_barrier,21.138378,1,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,raw_post_filter_control,15.920235,16,
tpch_ssb_like,1.0,tight,ssb_supplier_nation,unsafe_late_aggregate,15.741039,16,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,pcqv,4.148435,2,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,predicate_injection,2.477198,2,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,view_barrier,22.433666,2,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,raw_post_filter_control,7.170322,2,
tpch_ssb_like,1.0,medium,tpch_q3_revenue,unsafe_late_aggregate,5.409735,2,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,pcqv,5.705178,5,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,predicate_injection,4.655273,5,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,view_barrier,30.421115,5,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,raw_post_filter_control,13.674619,5,
tpch_ssb_like,1.0,medium,tpch_q5_region_supplier,unsafe_late_aggregate,12.301699,5,
tpch_ssb_like,1.0,medium,tpch_q6_discount,pcqv,3.766173,1,
tpch_ssb_like,1.0,medium,tpch_q6_discount,predicate_injection,3.656298,1,
tpch_ssb_like,1.0,medium,tpch_q6_discount,view_barrier,18.980669,1,
tpch_ssb_like,1.0,medium,tpch_q6_discount,raw_post_filter_control,9.713785,1,
tpch_ssb_like,1.0,medium,tpch_q6_discount,unsafe_late_aggregate,8.815847,1,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,pcqv,5.836794,5,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,predicate_injection,3.769248,5,
