aliases,case,exact_cost,greedy_cost,exact_orders,greedy_regret,exact_order,greedy_order
4,29,432.17047785808234,432.17047785808234,24,1.0,cbad,cbad
5,0,16057.922613540564,16103.757468729125,120,1.0028543452532217,abecd,abced
5,1,3848.5484338162973,3848.5484338162973,120,1.0,badec,bdeac
5,2,23451.914976937693,25333.38010013497,120,1.0802265028270608,ecbad,edcba
5,3,1610.904430327605,1936.3362691355353,120,1.2020180916267937,bcdae,badec
5,4,26740.194402319183,55060.63353471314,120,2.0590962319233443,dcabe,baecd
5,5,7394.267642140406,7400.069482787464,120,1.0007846403359804,dabce,dabec
5,6,654.9686782525941,654.9686782525941,120,1.0,ecabd,ecdab
5,7,140.10553873847192,140.10553873847192,120,1.0,abcde,aecdb
5,8,25830.61406723421,128062.47950633604,120,4.957779136531701,eabcd,cdbae
5,9,3901.86318539142,4157.186809972279,120,1.06543633450214,cdabe,cdbea
5,10,3717.2547037585223,3718.220324464344,120,1.0002597671622677,cbade,cabde
5,11,2512.744632658834,2512.744632658834,120,1.0,abcde,abcde
5,12,21036.407639734287,21036.40763973429,120,1.0000000000000002,bcdae,baced
5,13,35867.63100727058,36408.00415792929,120,1.0150657608401616,badec,bedac
5,14,10199.410200962424,12453.488956315116,120,1.221000892300615,cbade,cadbe
5,15,1820.5266736860813,1820.5266736860813,120,1.0,beacd,becad
5,16,8767.183399543143,9647.162199249593,120,1.1003718936405855,abcde,adbce
5,17,6779.25715688853,13291.96395211685,120,1.960681479476057,bcade,dbcae
5,18,3274.0280508919427,3277.939682042667,120,1.0011947457657422,cebda,cedba
5,19,670.0722734659851,670.0722734659851,120,1.0,cabde,cabde
5,20,220.28227297578158,220.51454628973963,120,1.0010544348885648,cabde,cdaeb
5,21,1009.2351999766162,1009.2351999766162,120,1.0,ecdab,ecdab
5,22,367.2853124566369,367.2853124566369,120,1.0,badce,bdaec
5,23,275.72393097715457,275.7239309771546,120,1.0000000000000002,ebacd,ebcda
5,24,13250.932023889243,13250.932023889243,120,1.0,abcde,acbde
5,25,947.6606737364947,947.6606737364947,120,1.0,ebadc,ebadc
5,26,160.00533953461363,160.00533953461363,120,1.0,eabcd,eabcd
5,27,892.6855621687785,892.6855621687785,120,1.0,cbdea,cebad
5,28,431.14983515651204,431.1498351565121,120,1.0000000000000002,eabcd,edcab
5,29,15162.464918998165,15162.464918998165,120,1.0,ebdac,edcba
6,0,2974.7195561468066,2974.9231148235367,720,1.0000684295352513,cbdaef,cbadfe
6,1,3014.2812185145235,3082.491570028901,720,1.0226290603197243,dcabfe,eabdfc
6,2,1112.3484149346882,1147.4935043379858,720,1.031595396668373,cfbade,cfdabe
6,3,2052.3445727098374,2052.8539033843235,720,1.0002481701568338,badcfe,bdeafc
6,4,2287.1879202158675,2287.5951642002597,720,1.0001780544487808,bacfde,bafcde
6,5,9819.852153967444,9948.828468233256,720,1.0131342419665355,aedbcf,cfdaeb
6,6,1908.867948284193,1908.867948284193,720,1.0,cabfed,cabfed
6,7,31475.53397558624,31672.110336763246,720,1.0062453701763878,deabfc,deacfb
6,8,341.0149076072903,341.0149076072903,720,1.0,fbacde,fbaecd
6,9,9600.15546342988,9706.772063799752,720,1.011105716024705,dbacef,dcaebf
6,10,8010.297453207409,8010.297453207409,720,1.0,dacefb,defacb
6,11,242.95577887581706,242.9557788758171,720,1.0000000000000002,fadcbe,fadbce
6,12,14660.706309478946,14660.706309478948,720,1.0000000000000002,eabcfd,efbdac
6,13,1712.3932065891618,1712.3932065891618,720,1.0,fabcde,fadbec
6,14,1770.2417474454028,3100.227880303766,720,1.7513019816517361,abdfce,eabdfc
6,15,538.4959760251293,539.006064935872,720,1.0009472473954364,adbfec,adcfbe
6,16,1413.3032730280393,1456.0892507015014,720,1.0302737413052134,fdabce,bacfde
6,17,2255.5688416666935,2255.5688416666935,720,1.0,cabdef,cadebf
6,18,2097.4475507509324,2099.1630558851816,720,1.0008179013266076,ebacdf,ecbdaf
6,19,5859.199585762038,6707.881847810488,720,1.1448461090335211,dabcef,dfebca
