selectivity,complexity,query,method,latency_ms,rows,error
0.05,5,q1_customer_orders,oracle_order,0.1175,0,
0.05,5,q2_revenue_by_product,oblivious_forced,0.6413,0,
0.05,5,q2_revenue_by_product,pcqv_no_order,0.1093,0,
0.05,5,q2_revenue_by_product,pcqv_no_stats,0.1347,0,
0.05,5,q2_revenue_by_product,pcqv_greedy,0.1218,0,
0.05,5,q2_revenue_by_product,pcqv_forced,0.1226,0,
0.05,5,q2_revenue_by_product,pcqv,0.0964,0,
0.05,5,q2_revenue_by_product,oracle_order,0.1059,0,
0.05,5,q3_support_tickets,oblivious_forced,0.0593,0,
0.05,5,q3_support_tickets,pcqv_no_order,0.0654,0,
0.05,5,q3_support_tickets,pcqv_no_stats,0.0565,0,
0.05,5,q3_support_tickets,pcqv_greedy,0.0839,0,
0.05,5,q3_support_tickets,pcqv_forced,0.0647,0,
0.05,5,q3_support_tickets,pcqv,0.064,0,
0.05,5,q3_support_tickets,oracle_order,0.0637,0,
0.05,5,q4_revenue_by_region,oblivious_forced,0.5311,0,
0.05,5,q4_revenue_by_region,pcqv_no_order,0.0998,0,
0.05,5,q4_revenue_by_region,pcqv_no_stats,0.0798,0,
0.05,5,q4_revenue_by_region,pcqv_greedy,0.0786,0,
0.05,5,q4_revenue_by_region,pcqv_forced,0.2892,0,
0.05,5,q4_revenue_by_region,pcqv,0.0836,0,
0.05,5,q4_revenue_by_region,oracle_order,0.1951,0,
0.05,5,q5_high_value_segments,oblivious_forced,1.4426,0,
0.05,5,q5_high_value_segments,pcqv_no_order,1.3437,0,
0.05,5,q5_high_value_segments,pcqv_no_stats,0.0731,0,
0.05,5,q5_high_value_segments,pcqv_greedy,1.3149,0,
0.05,5,q5_high_value_segments,pcqv_forced,1.3246,0,
0.05,5,q5_high_value_segments,pcqv,2.0231,0,
0.05,5,q5_high_value_segments,oracle_order,1.3492,0,
0.05,5,q6_lineitem_product_count,oblivious_forced,0.5605,0,
0.05,5,q6_lineitem_product_count,pcqv_no_order,0.091,0,
0.05,5,q6_lineitem_product_count,pcqv_no_stats,0.1046,0,
0.05,5,q6_lineitem_product_count,pcqv_greedy,0.1649,0,
0.05,5,q6_lineitem_product_count,pcqv_forced,0.1613,0,
0.05,5,q6_lineitem_product_count,pcqv,0.2471,0,
0.05,5,q6_lineitem_product_count,oracle_order,0.141,0,
0.05,5,q7_customer_summary,oblivious_forced,0.096,0,
0.05,5,q7_customer_summary,pcqv_no_order,0.056,0,
0.05,5,q7_customer_summary,pcqv_no_stats,0.0838,0,
0.05,5,q7_customer_summary,pcqv_greedy,0.0523,0,
0.05,5,q7_customer_summary,pcqv_forced,0.0503,0,
0.05,5,q7_customer_summary,pcqv,0.0538,0,
0.05,5,q7_customer_summary,oracle_order,0.1179,0,
0.05,5,q8_sensitive_product_scan,oblivious_forced,0.592,4,
0.05,5,q8_sensitive_product_scan,pcqv_no_order,0.2166,4,
0.05,5,q8_sensitive_product_scan,pcqv_no_stats,0.1848,4,
0.05,5,q8_sensitive_product_scan,pcqv_greedy,0.1736,4,
0.05,5,q8_sensitive_product_scan,pcqv_forced,0.1265,4,
0.05,5,q8_sensitive_product_scan,pcqv,0.1596,4,
0.05,5,q8_sensitive_product_scan,oracle_order,0.1769,4,
0.05,5,q9_ticket_topic_segments,oblivious_forced,0.1581,3,
0.05,5,q9_ticket_topic_segments,pcqv_no_order,0.1914,3,
0.05,5,q9_ticket_topic_segments,pcqv_no_stats,0.0822,3,
0.05,5,q9_ticket_topic_segments,pcqv_greedy,0.1014,3,
0.05,5,q9_ticket_topic_segments,pcqv_forced,0.0804,3,
0.05,5,q9_ticket_topic_segments,pcqv,0.1322,3,
0.05,5,q9_ticket_topic_segments,oracle_order,0.0769,3,
0.05,5,q10_acl_customer_rows,oblivious_forced,0.0542,2,
0.05,5,q10_acl_customer_rows,pcqv_no_order,0.0495,2,
0.05,5,q10_acl_customer_rows,pcqv_no_stats,0.0688,2,
0.05,5,q10_acl_customer_rows,pcqv_greedy,0.0681,2,
0.05,5,q10_acl_customer_rows,pcqv_forced,0.0557,2,
0.05,5,q10_acl_customer_rows,pcqv,0.052,2,
0.05,5,q10_acl_customer_rows,oracle_order,0.063,2,
0.05,5,q11_order_ticket_bridge,oblivious_forced,0.1437,0,
0.05,5,q11_order_ticket_bridge,pcqv_no_order,0.0739,0,
0.05,5,q11_order_ticket_bridge,pcqv_no_stats,0.1128,0,
0.05,5,q11_order_ticket_bridge,pcqv_greedy,0.1126,0,
0.05,5,q11_order_ticket_bridge,pcqv_forced,0.1067,0,
0.05,5,q11_order_ticket_bridge,pcqv,0.0762,0,
0.05,5,q11_order_ticket_bridge,oracle_order,0.1407,0,
0.05,5,q12_product_segment_revenue,oblivious_forced,0.1482,0,
0.05,5,q12_product_segment_revenue,pcqv_no_order,0.1744,0,
0.05,5,q12_product_segment_revenue,pcqv_no_stats,0.3241,0,
0.05,5,q12_product_segment_revenue,pcqv_greedy,0.1491,0,
0.05,5,q12_product_segment_revenue,pcqv_forced,0.2576,0,
0.05,5,q12_product_segment_revenue,pcqv,0.1127,0,
0.05,5,q12_product_segment_revenue,oracle_order,0.1397,0,
0.05,5,q13_order_lineitem_rows,oblivious_forced,0.092,0,
0.05,5,q13_order_lineitem_rows,pcqv_no_order,0.0894,0,
0.05,5,q13_order_lineitem_rows,pcqv_no_stats,0.1394,0,
0.05,5,q13_order_lineitem_rows,pcqv_greedy,0.1981,0,
0.05,5,q13_order_lineitem_rows,pcqv_forced,0.0576,0,
0.05,5,q13_order_lineitem_rows,pcqv,0.0822,0,
0.05,5,q13_order_lineitem_rows,oracle_order,0.0555,0,
0.05,5,q14_support_owner_rows,oblivious_forced,0.1161,2,
0.05,5,q14_support_owner_rows,pcqv_no_order,0.1103,2,
0.05,5,q14_support_owner_rows,pcqv_no_stats,0.0871,2,
0.05,5,q14_support_owner_rows,pcqv_greedy,0.1025,2,
0.05,5,q14_support_owner_rows,pcqv_forced,0.091,2,
0.05,5,q14_support_owner_rows,pcqv,0.0972,2,
0.05,5,q14_support_owner_rows,oracle_order,0.0835,2,
0.05,5,q15_clearance_product_rows,oblivious_forced,0.0636,1,
0.05,5,q15_clearance_product_rows,pcqv_no_order,0.0916,1,
0.05,5,q15_clearance_product_rows,pcqv_no_stats,0.0581,1,
0.05,5,q15_clearance_product_rows,pcqv_greedy,0.0559,1,
0.05,5,q15_clearance_product_rows,pcqv_forced,0.083,1,
0.05,5,q15_clearance_product_rows,pcqv,0.0554,1,
0.05,5,q15_clearance_product_rows,oracle_order,0.0585,1,
0.05,5,q16_region_product_mix,oblivious_forced,0.0782,0,
0.05,5,q16_region_product_mix,pcqv_no_order,0.0904,0,
0.05,5,q16_region_product_mix,pcqv_no_stats,0.0753,0,
0.05,5,q16_region_product_mix,pcqv_greedy,0.1661,0,
0.05,5,q16_region_product_mix,pcqv_forced,0.1439,0,
0.05,5,q16_region_product_mix,pcqv,0.0889,0,
0.05,5,q16_region_product_mix,oracle_order,0.2955,0,
0.05,6,q1_customer_orders,oblivious_forced,0.5424,0,
0.05,6,q1_customer_orders,pcqv_no_order,0.0776,0,
0.05,6,q1_customer_orders,pcqv_no_stats,0.0758,0,
0.05,6,q1_customer_orders,pcqv_greedy,0.0873,0,
0.05,6,q1_customer_orders,pcqv_forced,0.0859,0,
0.05,6,q1_customer_orders,pcqv,0.107,0,
0.05,6,q1_customer_orders,oracle_order,0.0855,0,
0.05,6,q2_revenue_by_product,oblivious_forced,0.5987,0,
0.05,6,q2_revenue_by_product,pcqv_no_order,0.2077,0,
0.05,6,q2_revenue_by_product,pcqv_no_stats,0.0959,0,
0.05,6,q2_revenue_by_product,pcqv_greedy,0.1011,0,
0.05,6,q2_revenue_by_product,pcqv_forced,0.0891,0,
0.05,6,q2_revenue_by_product,pcqv,0.1056,0,
0.05,6,q2_revenue_by_product,oracle_order,0.158,0,
0.05,6,q3_support_tickets,oblivious_forced,0.0801,0,
0.05,6,q3_support_tickets,pcqv_no_order,0.0742,0,
0.05,6,q3_support_tickets,pcqv_no_stats,0.0594,0,
0.05,6,q3_support_tickets,pcqv_greedy,0.0754,0,
0.05,6,q3_support_tickets,pcqv_forced,0.1915,0,
0.05,6,q3_support_tickets,pcqv,0.1727,0,
0.05,6,q3_support_tickets,oracle_order,0.0735,0,
0.05,6,q4_revenue_by_region,oblivious_forced,0.469,0,
0.05,6,q4_revenue_by_region,pcqv_no_order,0.0793,0,
0.05,6,q4_revenue_by_region,pcqv_no_stats,0.0862,0,
0.05,6,q4_revenue_by_region,pcqv_greedy,0.1768,0,
0.05,6,q4_revenue_by_region,pcqv_forced,0.0804,0,
0.05,6,q4_revenue_by_region,pcqv,0.0833,0,
0.05,6,q4_revenue_by_region,oracle_order,0.1869,0,
0.05,6,q5_high_value_segments,oblivious_forced,1.5294,0,
0.05,6,q5_high_value_segments,pcqv_no_order,1.5033,0,
0.05,6,q5_high_value_segments,pcqv_no_stats,0.0745,0,
0.05,6,q5_high_value_segments,pcqv_greedy,1.4211,0,
0.05,6,q5_high_value_segments,pcqv_forced,1.4366,0,
0.05,6,q5_high_value_segments,pcqv,1.3944,0,
0.05,6,q5_high_value_segments,oracle_order,1.6533,0,
0.05,6,q6_lineitem_product_count,oblivious_forced,0.5403,0,
0.05,6,q6_lineitem_product_count,pcqv_no_order,0.1443,0,
0.05,6,q6_lineitem_product_count,pcqv_no_stats,0.0948,0,
0.05,6,q6_lineitem_product_count,pcqv_greedy,0.1541,0,
0.05,6,q6_lineitem_product_count,pcqv_forced,0.1455,0,
0.05,6,q6_lineitem_product_count,pcqv,0.1833,0,
0.05,6,q6_lineitem_product_count,oracle_order,0.1181,0,
0.05,6,q7_customer_summary,oblivious_forced,0.0987,0,
0.05,6,q7_customer_summary,pcqv_no_order,0.0563,0,
0.05,6,q7_customer_summary,pcqv_no_stats,0.0544,0,
0.05,6,q7_customer_summary,pcqv_greedy,0.053,0,
